File Name	Game Title	Game ID	Bytes	Amount	Size	Checksum	MD5	Zip	Started	Finished	Taken
setup_fran_bow_2.5.0.6.exe	Fran Bow	1438948561	498409760	475 Mb	pass	4c6a870a80f20c5817e3a5cb265f2355	pass	na	2021-03-14 01:51:38	2021-03-14 01:52:22	00:00:44
gog_fran_bow_2.3.0.5.sh	Fran Bow	1438948561	493226299	470 Mb	pass	6e3013e9c8be4d25e1815f00bc177941	pass	na	2021-03-14 01:52:22	2021-03-14 01:52:58	00:00:36
battletech_1_9_1_686r_36568.sh	BATTLETECH	1482783682	14903033350	13.88 Gb	pass	0b916be54514d72c959a6ae34817491d	pass	na	2021-07-26 03:08:08	2021-07-26 03:26:13	00:18:05
setup_just_cause_1.0_(48205)-1.bin	Just Cause	1084263831	4293967870	4 Gb	pass	7e3c7b6da45186abc4fe08f24673105f	pass	na	2021-10-28 14:24:11	2021-10-28 14:29:24	00:05:13
setup_blackguards2_2.2.0.5-1.bin	Blackguards 2	1207667233	4194304000	3.91 Gb	pass	0a9e61a6616760dfb9293cdcecc65499	pass	na	2021-10-30 20:31:53	2021-10-30 20:36:45	00:04:52
blackguards_interview_english.zip	Blackguards Special Edition	1207660493	1024810966	977 Mb	pass	na	na	pass	2021-10-30 20:45:35	2021-10-30 20:46:09	00:00:34
setup_blackguards_special_edition_1.6_(12204)-2.bin	Blackguards Special Edition	1207660493	1467582686	1.37 Gb	pass	4b8af15d193cecdc23986d51804ded27	pass	na	2021-10-30 20:46:24	2021-10-30 20:47:58	00:01:34
setup_blackguards_special_edition_1.6_(12204)-1.bin	Blackguards Special Edition	1207660493	4293980158	4 Gb	pass	76ea33c4b666cd18fca7f42d66762e37	pass	na	2021-10-30 20:49:35	2021-10-30 20:54:03	00:04:28
setup_airhead_demo_1.0_(64bit)_(51082).exe	Airhead Demo	1446077952	227715328	217 Mb	pass	474787496e69da65e09d2ed820c2cbbe	pass	na	2021-11-03 05:01:57	2021-11-03 05:02:26	00:00:29
this_is_the_police_2_1_0_7_31768.sh	This Is the Police 2	1544762955	2737223738	2.55 Gb	pass	86aa41913225eb1d8beabe21210fea36	pass	na	2021-11-11 04:33:21	2021-11-11 04:36:38	00:03:17
